date,value,sensor_id,location_id,location_name,parameter
2025-06-18,67.6,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-19,67.4,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-20,74.8,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-21,80.4,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-22,98.3,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-23,120.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-24,122.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-25,88.3,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-26,81.5,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-27,92.7,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-28,102.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-29,88.2,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-30,72.4,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-01-07,76.7,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-02-07,75.5,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-03-07,78.7,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-04-07,88.1,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-07,84.6,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-07,54.9,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-07,102.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-07,78.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-07,42.7,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-07,78.1,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-07,82.8,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-07,84.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-13,54.5,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-14,44.2,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-15,70.2,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-16,70.4,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-17,62.7,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-18,51.5,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-19,73.1,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-20,98.1,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-21,86.8,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-22,71.5,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-23,117.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-24,123.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-25,72.5,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-26,70.4,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-27,85.3,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-28,50.4,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-29,72.3,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-30,41.4,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-31,60.5,12234786,17,"R K Puram, Delhi - DPCC",pm10
