date,pm10_avg,pm25_avg
2016-10-22,487.5,123.35
2016-10-23,456.5,102.65
2016-10-24,399.5,114.39999999999999
2016-10-25,486.0,150.33333333333334
2016-10-26,589.5,237.66666666666666
2016-10-27,515.5,300.5
2016-10-28,566.5,254.5
2016-10-29,540.0,283.25
2016-10-30,527.0,379.25
2016-10-31,657.0,359.75
2016-11-01,653.5,578.25
2016-11-02,458.3333333333333,374.5
2016-11-03,539.6666666666666,312.0
2016-11-04,735.5,692.1666666666666
2016-11-05,765.0,750.8333333333334
2016-11-06,567.6666666666666,432.6666666666667
2016-11-07,463.6666666666667,327.1666666666667
2016-11-08,434.6666666666667,299.1666666666667
2016-11-09,422.6666666666667,267.4
2016-11-10,443.6666666666667,293.6
2016-11-11,396.0,215.6
2016-11-12,354.0,155.78
2016-11-13,385.0,167.9
2016-11-14,324.6666666666667,192.8
2016-11-15,465.0,277.6
2016-11-16,362.3333333333333,176.6
2016-11-17,351.3333333333333,174.04000000000002
2016-11-18,385.3333333333333,167.75
2016-11-19,320.0,173.5
2016-11-20,421.6666666666667,223.6
2016-11-21,423.6666666666667,152.8
2016-11-22,405.6666666666667,170.8
2016-11-23,497.0,339.0
2016-11-24,374.3333333333333,116.84
2016-11-25,313.6666666666667,95.88
2016-11-26,341.3333333333333,100.55
2016-11-27,268.0,82.7
2016-11-28,485.0,245.8
2016-11-29,400.6666666666667,269.4
2016-11-30,367.6666666666667,261.6
2016-12-01,402.0,253.4
2016-12-02,287.46666666666664,182.25
2016-12-03,406.0,294.5
2016-12-04,429.0,219.6
2016-12-05,503.0,354.2
2016-12-06,427.0,296.8
2016-12-07,342.0,255.6
2016-12-08,460.0,283.0
2016-12-09,258.6666666666667,212.2
2016-12-10,209.0,192.6
2016-12-11,318.0,218.0
2016-12-12,359.3333333333333,181.2
2016-12-13,301.0,148.2
2016-12-14,294.6666666666667,164.0
2016-12-15,379.0,206.8
2016-12-16,405.0,231.2
2016-12-17,424.6666666666667,222.2
